FID,x,y
0,9.53275013,104.9458694
1,9.555900574,104.9630585
2,9.546317101,104.9737701
3,9.541718483,104.9836349
4,9.540966034,104.9901199
5,9.538996696,104.9926682
6,9.543091774,104.9975662
7,9.558523178,105.0030594
8,9.480905533,105.1318283
9,9.399346352,105.2621765
10,9.394928932,105.2785568
11,9.397055626,105.2805862
12,9.386943817,105.2967834
13,9.341423988,105.2519836
14,9.335227966,105.2480469
15,9.329082489,105.2486496
16,9.321690559,105.252243
17,9.309868813,105.2618713
18,9.298891068,105.2763519
19,9.279637337,105.2939835
20,9.266343117,105.2799072
21,9.258703232,105.2663956
22,9.253458023,105.2621384
23,9.251280785,105.2579727
24,9.242783546,105.2551422
25,9.237346649,105.2486725
26,9.225880623,105.2397156
27,9.224345207,105.232872
28,9.21374321,105.2325745
29,9.211896896,105.2374268
30,9.209247589,105.2397919
31,9.200505257,105.2397995
32,9.199790955,105.2413177
33,9.204198837,105.2435226
34,9.20303154,105.2467957
35,9.200531006,105.2461548
36,9.198719978,105.2529068
37,9.178462982,105.2613678
38,9.177739143,105.2648087
39,9.180655479,105.2657623
40,9.181192398,105.2712784
41,9.182736397,105.2714157
42,9.182327271,105.2743607
43,9.174886703,105.2787628
44,9.162712097,105.2804031
45,9.162712097,105.2759399
46,9.159502983,105.2666321
47,9.157993317,105.26754
48,9.151373863,105.2633209
49,9.141488075,105.2620926
50,9.138238907,105.2587357
51,9.135401726,105.2526474
52,9.122638702,105.2482224
53,9.119744301,105.2498779
54,9.112246513,105.2468719
55,9.104904175,105.2508087
56,9.100204468,105.2450638
57,9.097129822,105.2467728
58,9.093297005,105.2529984
59,9.091320038,105.2536621
60,9.09454155,105.2632065
61,9.088054657,105.2686234
62,9.084672928,105.2740555
63,9.087809563,105.2807693
64,9.090335846,105.2924194
65,9.089650154,105.2982941
66,9.078662872,105.3100281
67,9.076429367,105.3166656
68,9.071679115,105.3183594
69,9.07063961,105.3262253
70,9.066458702,105.3345871
71,9.067048073,105.3367767
72,9.072278976,105.3407974
73,9.07065773,105.3501358
74,9.071052551,105.3578491
75,9.068407059,105.3589096
76,9.065031052,105.3563461
77,9.062783241,105.3577805
78,9.059807777,105.3660812
79,9.061104774,105.3735962
80,9.0572052,105.3778152
81,9.063302994,105.3839874
82,9.067174911,105.3928986
83,9.061256409,105.3953247
84,9.057909966,105.4034882
85,9.051797867,105.4100723
86,9.043345451,105.4109268
87,9.037283897,105.4188995
88,9.017169952,105.4163818
89,9.004956245,105.4024582
90,8.998273849,105.3988953
91,8.995884895,105.3950882
92,8.974079132,105.3908844
93,8.968061447,105.3880692
94,8.956774712,105.3883209
95,8.933436394,105.379097
96,8.920980453,105.3712692
97,8.916561127,105.3712311
98,8.912223816,105.3677902
99,8.908294678,105.3682861
100,8.903084755,105.3667831
101,8.90194416,105.3643799
102,8.897321701,105.36483
103,8.895712852,105.3623886
104,8.884744644,105.3588486
105,8.860042572,105.3467865
106,8.83784008,105.3334961
107,8.831591606,105.3269577
108,8.82955265,105.327507
109,8.824756622,105.3173752
110,8.813895226,105.3105469
111,8.770201683,105.2687912
112,8.767586708,105.2638702
113,8.766457558,105.2575989
114,8.763224602,105.2529144
115,8.757169724,105.2336578
116,8.756829262,105.2210617
117,8.752531052,105.2085953
118,8.746747971,105.1977692
119,8.746216774,105.1938095
120,8.743197441,105.1932755
121,8.744259834,105.1910095
122,8.743148804,105.1904297
123,8.743124962,105.185936
124,8.739006042,105.1834946
125,8.737858772,105.1790161
126,8.725419044,105.1732407
127,8.722363472,105.168602
128,8.708424568,105.1594162
129,8.708297729,105.1568832
130,8.704313278,105.1514053
131,8.695046425,105.1454468
132,8.691858292,105.1416473
133,8.683725357,105.1388931
134,8.671282768,105.1293945
135,8.661455154,105.1301422
136,8.656628609,105.1281052
137,8.646427155,105.1186829
138,8.643975258,105.118187
139,8.64438343,105.1161652
140,8.642216682,105.1124039
141,8.635353088,105.106781
142,8.630997658,105.0884094
143,8.623447418,105.0723495
144,8.622496605,105.064003
145,8.625228882,105.0638733
146,8.621850014,105.0529938
147,8.607218742,105.018631
148,8.600984573,105.0090103
149,8.598797798,105.0005264
150,8.600790977,104.9931488
151,8.600773811,104.9835205
152,8.59631443,104.9729767
153,8.59021759,104.9666061
154,8.588212013,104.9603271
155,8.582557678,104.9247894
156,8.579339027,104.9158936
157,8.576638222,104.9011612
158,8.573438644,104.8934708
159,8.566823959,104.8503799
160,8.562634468,104.8467484
161,8.561211586,104.8419037
162,8.561211586,104.8379745
163,8.566021919,104.8251114
164,8.573581696,104.8168716
165,8.579678535,104.8024673
166,8.588592529,104.7599945
167,8.591664314,104.7524948
168,8.59127903,104.7484055
169,8.597437859,104.7301407
170,8.601760864,104.722084
171,8.605459213,104.7216415
172,8.605208397,104.7192383
173,8.607665062,104.7173538
174,8.6210289,104.7164536
175,8.631985664,104.7127762
176,8.640057564,104.7154312
177,8.645774841,104.7202454
178,8.649884224,104.7303314
179,8.645539284,104.7423096
180,8.640893936,104.7490768
181,8.634955406,104.750618
182,8.633885384,104.752449
183,8.637248039,104.7562256
184,8.640458107,104.757515
185,8.644284248,104.7709961
186,8.645380974,104.7807159
187,8.652326584,104.7964554
188,8.660352707,104.795578
189,8.682592392,104.7810974
190,8.694830894,104.7788239
191,8.704199791,104.7807617
192,8.717788696,104.7866745
193,8.72749424,104.7944336
194,8.736231804,104.8248978
195,8.734677315,104.8291931
196,8.735628128,104.8338547
197,8.73764801,104.8374329
198,8.743311882,104.8593674
199,8.741208076,104.8604431
200,8.74375248,104.8606415
201,8.748441696,104.8673706
202,8.754220963,104.86763
203,8.75480175,104.8736877
204,8.75844574,104.8770065
205,8.769331932,104.8798141
206,8.769726753,104.8818359
207,8.772210121,104.8810654
208,8.774438858,104.8860626
209,8.776272774,104.8838043
210,8.781425476,104.8868485
211,8.785023689,104.8959274
212,8.787460327,104.8986359
213,8.79301548,104.9018707
214,8.795786858,104.9016113
215,8.79642868,104.9030685
216,8.79914856,104.9026489
217,8.799603462,104.9039536
218,8.800017357,104.9021988
219,8.802179337,104.9033203
220,8.805903435,104.9013672
221,8.807888985,104.9027405
222,8.8086586,104.8991013
223,8.801125526,104.8970413
224,8.796972275,104.8890839
225,8.787657738,104.8597183
226,8.775408745,104.8300171
227,8.772198677,104.8119812
228,8.775688171,104.8040237
229,8.782574654,104.798912
230,8.786794662,104.7936554
231,8.795713425,104.7873688
232,8.801362991,104.786087
233,8.804069519,104.7832413
234,8.809884071,104.7811432
235,8.829324722,104.7816925
236,8.898147583,104.7994308
237,8.930664062,104.8032608
238,8.938778877,104.8024216
239,8.980740547,104.8048553
240,9.018231392,104.8022079
241,9.027959824,104.8046646
242,9.046209335,104.8041306
243,9.04791832,104.805542
244,9.048332214,104.8040924
245,9.04963398,104.805397
246,9.053451538,104.8041077
247,9.054621696,104.8053665
248,9.05507946,104.8044739
249,9.058002472,104.8056793
250,9.058038712,104.8046188
251,9.059098244,104.8058319
252,9.079771042,104.8077469
253,9.088266373,104.8072205
254,9.104505539,104.8083344
255,9.105116844,104.8093185
256,9.105494499,104.8084259
257,9.137987137,104.8104172
258,9.178910255,104.8089828
259,9.180894852,104.8077164
260,9.215864182,104.816452
261,9.24749279,104.8200607
262,9.249252319,104.8225021
263,9.252549171,104.8206329
264,9.269221306,104.8210602
265,9.332880974,104.8241501
266,9.343112946,104.8264465
267,9.350185394,104.8245926
268,9.375030518,104.8292389
269,9.378878593,104.8267517
270,9.381632805,104.8282166
271,9.384040833,104.8272171
272,9.386183739,104.8294067
273,9.411294937,104.8301315
274,9.412716866,104.8313446
275,9.463299751,104.8316879
276,9.530630112,104.8354721
277,9.531339645,104.8388596
278,9.529442787,104.8457794
279,9.517864227,104.854454
280,9.494053841,104.8811722
281,9.561700821,104.9165115
282,9.53275013,104.9458694
